NO.,Var,dtypes,description,Var Category
259,PA030,Numeric,AVG_ION_OR_HIGH_RISK_OUT_CALLS,Call Detail
260,PA031,Numeric,AVG_ION_CALLS,Call Detail
261,PA032,Numeric,AVG_ION_IN_CALLS,Call Detail
262,PA033,Numeric,AVG_ION_OUT_CALLS,Call Detail
263,PA034,Numeric,AVG_HIGH_RISK_CALLS,Call Detail
264,PA035,Numeric,AVG_HIGH_RISK_IN_CALLS,Call Detail
265,PA036,Numeric,AVG_HIGH_RISK_OUT_CALLS,Call Detail
266,PA037,Numeric,ION_OR_HIGH_RISK_ORG_1MON,Call Detail
267,PA038,Numeric,ION_ORG_1MON,Call Detail
268,PA039,Numeric,HIGH_RISK_ORG_1MON,Call Detail
269,PA040,Numeric,ION_OR_HIGH_RISK_IN_CALLS_1MON,Call Detail
270,PA041,Numeric,ION_IN_CALLS_1MON,Call Detail
271,PA042,Numeric,HIGH_RISK_IN_CALLS_1MON,Call Detail
272,PA043,Numeric,ION_OR_HIGH_RISK_IN_CALLS_1MON,Call Detail
273,PA044,Numeric,ION_IN_CALLS_1MON,Call Detail
274,PA045,Numeric,HIGH_RISK_IN_CALLS_1MON,Call Detail
275,PA046,Numeric,ION_OR_HIGH_RISK_OUT_CALLS_1MON,Call Detail
276,PA047,Numeric,ION_OUT_CALLS_1MON,Call Detail
277,PA048,Numeric,HIGH_RISK_OUT_CALLS_1MON,Call Detail
278,PA049,Numeric,ION_OR_HIGH_RISK_OUT_CALLS_1MON,Call Detail
279,PA050,Numeric,ION_OUT_CALLS_1MON,Call Detail
280,PA051,Numeric,HIGH_RISK_OUT_CALLS_1MON,Call Detail
281,PA052,Numeric,ION_OR_HIGH_RISK_CALLS_1MON,Call Detail
282,PA053,Numeric,ION_CALLS_1MON,Call Detail
283,PA054,Numeric,HIGH_RISK_CALLS_1MON,Call Detail
284,PA055,Numeric,ION_OR_HIGH_RISK_CALLS_1MON,Call Detail
285,PA056,Numeric,ION_CALLS_1MON,Call Detail
286,PA057,Numeric,HIGH_RISK_CALLS_1MON,Call Detail
287,PA058,Numeric,ION_OR_HIGH_RISK_ORG_2MON,Call Detail
288,PA059,Numeric,ION_ORG_2MON,Call Detail
289,PA060,Numeric,HIGH_RISK_ORG_2MON,Call Detail
290,PA061,Numeric,ION_OR_HIGH_RISK_IN_CALLS_2MON,Call Detail
291,PA062,Numeric,ION_IN_CALLS_2MON,Call Detail
292,PA063,Numeric,HIGH_RISK_IN_CALLS_2MON,Call Detail
293,PA064,Numeric,ION_OR_HIGH_RISK_IN_CALLS_2MON,Call Detail
294,PA065,Numeric,ION_IN_CALLS_2MON,Call Detail
295,PA066,Numeric,HIGH_RISK_IN_CALLS_2MON,Call Detail
296,PA067,Numeric,ION_OR_HIGH_RISK_OUT_CALLS_2MON,Call Detail
297,PA068,Numeric,ION_OUT_CALLS_2MON,Call Detail
298,PA069,Numeric,HIGH_RISK_OUT_CALLS_2MON,Call Detail
299,PA070,Numeric,ION_OR_HIGH_RISK_OUT_CALLS_2MON,Call Detail
300,PA071,Numeric,ION_OUT_CALLS_2MON,Call Detail
301,PA072,Numeric,HIGH_RISK_OUT_CALLS_2MON,Call Detail
302,PA073,Numeric,ION_OR_HIGH_RISK_CALLS_2MON,Call Detail
303,PA074,Numeric,ION_CALLS_2MON,Call Detail
304,PA075,Numeric,HIGH_RISK_CALLS_2MON,Call Detail
305,PA076,Numeric,ION_OR_HIGH_RISK_CALLS_2MON,Call Detail
306,PA077,Numeric,ION_CALLS_2MON,Call Detail
307,PA078,Numeric,HIGH_RISK_CALLS_2MON,Call Detail
308,PA079,Numeric,ION_OR_HIGH_RISK_ORG_3MON,Call Detail
